Model,Preprocessing,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
LR,lemmatization,4,25000,3.440549834000194,0.1974886250000054,0.0006577920000836457,0.9473030077056923,0.7736549165120594,0.965301478953356,0.8224852071005917,0.883518710734772,0.9741676234213548,0.965301478953356,0.9697142857142858,0.7736549165120594,0.8224852071005917,0.7973231357552581,3394,122,90,417
LR,lemmatization,5,25000,3.438220208000075,0.18446491600002446,0.0006284999999479624,0.9455494778717056,0.7692307692307693,0.9650170648464164,0.8102766798418972,0.8789785104685983,0.9724849527085124,0.9650170648464164,0.9687366167023554,0.7692307692307693,0.8102766798418972,0.7892204042348412,3393,123,96,410
NB,lemmatization,1,25000,3.4827649579999616,0.005057458999999653,0.0016843329999574053,0.9308973402933135,0.8166666666666667,0.9812340062553313,0.5810276679841897,0.8201325853827992,0.9421239421239421,0.9812340062553313,0.9612813370473537,0.8166666666666667,0.5810276679841897,0.6789838337182448,3451,66,212,294
NB,lemmatization,2,25000,3.3889471249999588,0.003760875000125452,0.0018784170001708844,0.9296544867014666,0.8111111111111111,0.9806598407281001,0.5759368836291914,0.8170832748920221,0.9413049413049414,0.9806598407281001,0.9605794678924642,0.8111111111111111,0.5759368836291914,0.6735870818915801,3448,68,215,292
NB,lemmatization,3,25000,3.3971200000000863,0.0037603339999350283,0.00164825000001656,0.9316430524484216,0.8169398907103825,0.9809442548350398,0.5897435897435898,0.8233280299404554,0.9431227782335248,0.9809442548350398,0.9616617872577722,0.8169398907103825,0.5897435897435898,0.6849942726231386,3449,67,208,299
NB,lemmatization,4,25000,3.3441610830000172,0.003891916999918976,0.0019462090001525212,0.9331344767586378,0.8361581920903954,0.9835039817974972,0.5838264299802761,0.8250667403781107,0.9424911420005451,0.9835039817974972,0.9625608907446068,0.8361581920903954,0.5838264299802761,0.6875725900116144,3458,58,211,296
NB,lemmatization,5,25000,3.341639250000071,0.0037389169999642036,0.0018159169999307778,0.9321233217304824,0.828169014084507,0.982650739476678,0.5810276679841897,0.8224602126294129,0.9421870739023726,0.982650739476678,0.9619935959905332,0.828169014084507,0.5810276679841897,0.6829268292682927,3455,61,212,294
GB,lemmatization,1,25000,3.3414777079999567,72.59115283400001,0.036153959000102986,0.9343773303504848,0.8167539267015707,0.980096673301109,0.616600790513834,0.8329104460705467,0.9467179346333425,0.980096673301109,0.9631181894383906,0.8167539267015707,0.616600790513834,0.7027027027027027,3447,70,194,312
GB,lemmatization,2,25000,3.3646405830002095,72.8300385,0.037630666000040947,0.9408401690280885,0.8530183727034121,0.9840728100113766,0.6410256410256411,0.8493662354726897,0.9500274574409665,0.9840728100113766,0.9667504889633975,0.8530183727034121,0.6410256410256411,0.7319819819819819,3460,56,182,325
GB,lemmatization,3,25000,3.413578583000117,72.5198478750001,0.0353018329999486,0.9338801889137459,0.8081841432225064,0.9786689419795221,0.6232741617357002,0.833286492522711,0.9474118942731278,0.9786689419795221,0.9627867935086738,0.8081841432225064,0.6232741617357002,0.7037861915367484,3441,75,191,316
