Experiment,Preprocessing,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
E2_Hybrid_Word_Character,lemmatization,1,25000,3.5785625829999788,1.688151916999999,0.04028350000001524,0.9492915734526473,0.8282608695652174,0.9775376741541086,0.7529644268774703,0.8800031582271819,0.9649172046028628,0.9775376741541086,0.9711864406779661,0.8282608695652174,0.7529644268774703,0.7888198757763976,3438,79,125,381
E2_Hybrid_Word_Character,lemmatization,2,25000,3.5230645409999966,1.9592325419999952,0.027641000000016902,0.955754412130251,0.8492569002123143,0.979806598407281,0.7889546351084813,0.8964059912298061,0.9698761261261262,0.979806598407281,0.9748160724391625,0.8492569002123143,0.7889546351084813,0.8179959100204499,3445,71,107,400
E2_Hybrid_Word_Character,lemmatization,3,25000,3.49714370800001,1.8524597500000084,0.03885666700000456,0.947800149142431,0.8087318087318087,0.9738339021615472,0.7672583826429981,0.8788479607371198,0.9666854884246189,0.9738339021615472,0.9702465287616888,0.8087318087318087,0.7672583826429981,0.7874493927125507,3424,92,118,389
E2_Hybrid_Word_Character,lemmatization,4,25000,3.5158106250000003,1.7560900419999825,0.038323165999997855,0.9562515535669898,0.8653421633554084,0.982650739476678,0.7731755424063116,0.8959144792548688,0.9677871148459384,0.982650739476678,0.9751622918430708,0.8653421633554084,0.7731755424063116,0.8166666666666667,3455,61,115,392
E2_Hybrid_Word_Character,lemmatization,5,25000,3.5289070409999965,1.851513208,0.02737020800000778,0.9562406762804575,0.8666666666666667,0.9829351535836177,0.7707509881422925,0.8955344409078458,0.9675251959686451,0.9829351535836177,0.9751693002257337,0.8666666666666667,0.7707509881422925,0.8158995815899581,3456,60,116,390
E3_Hybrid_Lexical,lemmatization,1,25006,4.044074291999976,1.7220576249999908,0.027635791999983894,0.9482972905791698,0.8253275109170306,0.977253340915553,0.7470355731225297,0.8774310653740827,0.9640953716690042,0.977253340915553,0.970629765602937,0.8253275109170306,0.7470355731225297,0.7842323651452282,3437,80,128,378
E3_Hybrid_Lexical,lemmatization,2,25006,4.074541584000002,1.7399115000000052,0.03741420800000128,0.9537658463832961,0.8436830835117773,0.9792377701934016,0.777120315581854,0.8913670013100802,0.96822272215973,0.9792377701934016,0.9736990950226244,0.8436830835117773,0.777120315581854,0.8090349075975359,3443,73,113,394
E3_Hybrid_Lexical,lemmatization,3,25006,4.048480500000011,1.8223260839999966,0.03803600000003371,0.9492915734526473,0.814968814968815,0.9746871444823664,0.7731755424063116,0.8823094475732021,0.9675324675324676,0.9746871444823664,0.9710966279399263,0.814968814968815,0.7731755424063116,0.7935222672064778,3427,89,115,392
E3_Hybrid_Lexical,lemmatization,4,25006,4.142794957999968,1.7853628750000325,0.0407130000000393,0.9562515535669898,0.8669623059866962,0.9829351535836177,0.7712031558185405,0.8957266125345787,0.9675251959686451,0.9829351535836177,0.9751693002257337,0.8669623059866962,0.7712031558185405,0.8162839248434238,3456,60,116,391
E3_Hybrid_Lexical,lemmatization,5,25006,4.135467167000002,1.8379890409999575,0.027813208999987182,0.9552461461959224,0.8574561403508771,0.9815130830489193,0.7727272727272727,0.8937366319461773,0.9677509814918677,0.9815130830489193,0.9745834510025416,0.8574561403508771,0.7727272727272727,0.8128898128898129,3451,65,115,391
E4_Hybrid_Lexical_Punctuation_Emoji,lemmatization,1,25010,4.1197523339999975,1.9009991669999522,0.03935720800001263,0.9495401441710166,0.8300653594771242,0.9778220073926642,0.7529644268774703,0.8804845192527914,0.9649270482603816,0.9778220073926642,0.9713317328061009,0.8300653594771242,0.7529644268774703,0.7896373056994819,3439,78,125,381
E4_Hybrid_Lexical_Punctuation_Emoji,lemmatization,2,25010,4.0917557910000255,1.8799815000000422,0.03968800000001238,0.9540144171016655,0.8425531914893617,0.9789533560864618,0.7810650887573964,0.8922371135349132,0.9687587953841824,0.9789533560864618,0.9738293959541661,0.8425531914893617,0.7810650887573964,0.8106448311156602,3442,74,111,396
E4_Hybrid_Lexical_Punctuation_Emoji,lemmatization,3,25010,4.094333333000009,1.7524014169999873,0.03847633299994868,0.9485458612975392,0.808641975308642,0.9735494880546075,0.7751479289940828,0.8810957861988407,0.9677692960135709,0.9735494880546075,0.9706507868991918,0.808641975308642,0.7751479289940828,0.7915407854984894,3423,93,114,393
E4_Hybrid_Lexical_Punctuation_Emoji,lemmatization,4,25010,4.073186958000008,1.8097565420000024,0.03860374999999294,0.9545115585384042,0.8632286995515696,0.982650739476678,0.7593688362919132,0.8910873658894594,0.9658932065977076,0.982650739476678,0.9741999154095587,0.8632286995515696,0.7593688362919132,0.8079748163693599,3455,61,122,385
E4_Hybrid_Lexical_Punctuation_Emoji,lemmatization,5,25010,4.0814531670000065,1.7905629169999884,0.028137708000031125,0.9547488811536549,0.86,0.9820819112627986,0.7648221343873518,0.8919731150297043,0.9666853303471444,0.9820819112627986,0.9743227990970654,0.86,0.7648221343873518,0.8096234309623431,3453,63,119,387
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,lemmatization,1,25011,4.132777916000009,1.7694190000000276,0.03956625000000713,0.9492915734526473,0.8282608695652174,0.9775376741541086,0.7529644268774703,0.8800031582271819,0.9649172046028628,0.9775376741541086,0.9711864406779661,0.8282608695652174,0.7529644268774703,0.7888198757763976,3438,79,125,381
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,lemmatization,2,25011,4.125878,1.7497635000000287,0.03768795800004909,0.9552572706935123,0.8516129032258064,0.9803754266211604,0.7810650887573964,0.8946847610969748,0.9688026981450253,0.9803754266211604,0.9745547073791349,0.8516129032258064,0.7810650887573964,0.8148148148148148,3447,69,111,396
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,lemmatization,3,25011,4.119355208000002,1.9150183329999777,0.03835583300002554,0.947800149142431,0.8087318087318087,0.9738339021615472,0.7672583826429981,0.8788479607371198,0.9666854884246189,0.9738339021615472,0.9702465287616888,0.8087318087318087,0.7672583826429981,0.7874493927125507,3424,92,118,389
