Experiment,Preprocessing,Fold,Features,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
P2_Stemming,stemming,2,25000,1.7722724170000106,0.038805249999995794,0.9550086999751429,0.8482905982905983,0.979806598407281,0.7830374753451677,0.8943807316993571,0.9690576652601969,0.979806598407281,0.9744024890397398,0.8482905982905983,0.7830374753451677,0.8143589743589743,3445,71,110,397
P2_Stemming,stemming,3,25000,1.781860334000001,0.03835024999999348,0.9480487198608004,0.8078512396694215,0.9735494880546075,0.7712031558185405,0.8797387686914333,0.9672223792031648,0.9735494880546075,0.9703756201275691,0.8078512396694215,0.7712031558185405,0.7891019172552977,3423,93,116,391
P2_Stemming,stemming,4,25000,1.789348208000007,0.037675082999996334,0.955754412130251,0.8631346578366446,0.9823663253697383,0.7712031558185405,0.8947316892464013,0.9675070028011205,0.9823663253697383,0.9748800451594694,0.8631346578366446,0.7712031558185405,0.8145833333333333,3454,62,116,391
P2_Stemming,stemming,5,25000,1.7328827500000017,0.027630625000000464,0.9549975136747887,0.8571428571428571,0.9815130830489193,0.7707509881422925,0.8930501914052245,0.967479674796748,0.9815130830489193,0.9744458562755894,0.8571428571428571,0.7707509881422925,0.8116545265348595,3451,65,116,390
P3_Lemmatization,lemmatization,1,25000,1.7531807910000055,0.03606029200000194,0.9492915734526473,0.8282608695652174,0.9775376741541086,0.7529644268774703,0.8800031582271819,0.9649172046028628,0.9775376741541086,0.9711864406779661,0.8282608695652174,0.7529644268774703,0.7888198757763976,3438,79,125,381
P3_Lemmatization,lemmatization,2,25000,1.8618296249999986,0.027515417000003595,0.955754412130251,0.8492569002123143,0.979806598407281,0.7889546351084813,0.8964059912298061,0.9698761261261262,0.979806598407281,0.9748160724391625,0.8492569002123143,0.7889546351084813,0.8179959100204499,3445,71,107,400
P3_Lemmatization,lemmatization,3,25000,1.8402624160000016,0.03897087500000396,0.947800149142431,0.8087318087318087,0.9738339021615472,0.7672583826429981,0.8788479607371198,0.9666854884246189,0.9738339021615472,0.9702465287616888,0.8087318087318087,0.7672583826429981,0.7874493927125507,3424,92,118,389
P3_Lemmatization,lemmatization,4,25000,1.8362583749999999,0.037844708999998034,0.9562515535669898,0.8653421633554084,0.982650739476678,0.7731755424063116,0.8959144792548688,0.9677871148459384,0.982650739476678,0.9751622918430708,0.8653421633554084,0.7731755424063116,0.8166666666666667,3455,61,115,392
P3_Lemmatization,lemmatization,5,25000,1.9374710419999985,0.03854116599998747,0.9562406762804575,0.8666666666666667,0.9829351535836177,0.7707509881422925,0.8955344409078458,0.9675251959686451,0.9829351535836177,0.9751693002257337,0.8666666666666667,0.7707509881422925,0.8158995815899581,3456,60,116,390
P4_Stopword_Stemming,stopword_stemming,1,25000,1.3255115409999974,0.027532207999996672,0.9460601541138454,0.8016701461377871,0.9729883423372192,0.758893280632411,0.8744816202821388,0.9655756207674944,0.9729883423372192,0.9692678090921966,0.8016701461377871,0.758893280632411,0.7796954314720812,3422,95,122,384
P4_Stopword_Stemming,stopword_stemming,2,25000,1.321602791999993,0.027395291000004818,0.9567486950037286,0.8520084566596194,0.9800910125142207,0.7948717948717948,0.8989120074862664,0.9707042253521126,0.9800910125142207,0.9753750353806963,0.8520084566596194,0.7948717948717948,0.8224489795918367,3446,70,104,403
P4_Stopword_Stemming,stopword_stemming,3,25000,1.3299801670000022,0.026987166999987267,0.9455630126771066,0.7903225806451613,0.9704209328782708,0.7731755424063116,0.875280165466967,0.9673943861638786,0.9704209328782708,0.9689052960386199,0.7903225806451613,0.7731755424063116,0.7816550348953141,3412,104,115,392
P4_Stopword_Stemming,stopword_stemming,4,25000,1.3150591250000048,0.027696583999983204,0.9565001242853591,0.8608695652173913,0.981797497155859,0.7810650887573964,0.8971534578073166,0.9688464776873421,0.981797497155859,0.9752789942082215,0.8608695652173913,0.7810650887573964,0.8190279214064116,3452,64,111,396
P4_Stopword_Stemming,stopword_stemming,5,25000,1.3761857920000011,0.027584417000014128,0.9542516161113874,0.851528384279476,0.9806598407281001,0.7707509881422925,0.8915699650702112,0.9674523007856342,0.9806598407281001,0.9740112994350283,0.851528384279476,0.7707509881422925,0.8091286307053942,3448,68,116,390
P5_Stopword_Lemmatization,stopword_lemmatization,1,25000,1.3967276249999827,0.02758387500000481,0.9482972905791698,0.8197424892703863,0.9761160079613307,0.7549407114624506,0.8783023906009486,0.96513916221535,0.9761160079613307,0.9705965507492225,0.8197424892703863,0.7549407114624506,0.7860082304526749,3433,84,124,382
P5_Stopword_Lemmatization,stopword_lemmatization,2,25000,1.391543458000001,0.026954084000010425,0.9547601292567736,0.8479657387580299,0.979806598407281,0.7810650887573964,0.8937031948302935,0.968785151856018,0.979806598407281,0.9742647058823529,0.8479657387580299,0.7810650887573964,0.813141683778234,3445,71,111,396
P5_Stopword_Lemmatization,stopword_lemmatization,3,25000,1.39922949999999,0.026278417000014542,0.9455630126771066,0.7868525896414342,0.9695676905574516,0.7790927021696252,0.8759161013997512,0.9681908548707754,0.9695676905574516,0.9688787835725451,0.7868525896414342,0.7790927021696252,0.7829534192269574,3409,107,112,395
P5_Stopword_Lemmatization,stopword_lemmatization,4,25000,1.4508008749999988,0.037726666000025944,0.9560029828486204,0.8556034482758621,0.9809442548350398,0.7830374753451677,0.8963480146874192,0.969092441697106,0.9809442548350398,0.974982332155477,0.8556034482758621,0.7830374753451677,0.8177136972193615,3449,67,110,397
P5_Stopword_Lemmatization,stopword_lemmatization,5,25000,1.4111424170000078,0.026203875000021526,0.9542516161113874,0.85,0.9803754266211604,0.7727272727272727,0.8917638827217804,0.9677147669848399,0.9803754266211604,0.9740039559197513,0.85,0.7727272727272727,0.8095238095238095,3447,69,115,391
